                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1491,                 9.1683,                 1.3014,                 0.1684,                0.08556,                0.09176,                0.07414,                 1.4001,                 22.777,                 1.7932,              5.684e-05,              5.684e-05,              5.684e-05
                      2,                0.95381,                   3.92,                  1.163,                0.95257,                0.10222,                0.11619,                0.06373,                 1.0748,                 4.0607,                 1.7542,             0.00011278,             0.00011278,             0.00011278
                      3,                0.90316,                 2.9094,                 1.1154,                0.94435,                0.11333,                0.10673,                0.06715,                 1.1283,                 3.9582,                 1.8452,             0.00016581,             0.00016581,             0.00016581
                      4,                0.84849,                 2.3404,                 1.0886,                0.62777,                0.09778,                0.11921,                0.07359,                 1.0016,                 2.9827,                  1.551,             0.00018145,             0.00018145,             0.00018145
                      5,                0.82152,                 2.0043,                 1.0548,                0.59806,                 0.0413,                0.08341,                0.05216,                0.94506,                 3.5014,                 1.6082,             0.00018145,             0.00018145,             0.00018145
                      6,                0.83692,                 1.7954,                 1.0688,                0.44066,                    0.1,                0.11441,                0.06833,                0.92237,                  2.356,                 1.5615,              0.0001766,              0.0001766,              0.0001766
                      7,                0.80116,                 1.5144,                 1.0614,                0.44212,                0.07556,                0.09794,                  0.059,                    0.9,                  2.722,                 1.6302,             0.00017174,             0.00017174,             0.00017174
                      8,                0.78014,                 1.4911,                 1.0308,                0.58929,                0.09745,                0.09362,                0.06335,                0.85565,                 2.6031,                  1.537,             0.00016689,             0.00016689,             0.00016689
                      9,                0.75162,                 1.3288,                 1.0166,                0.44151,                0.06444,                0.08727,                0.05928,                0.93051,                 2.9063,                 1.7619,             0.00016204,             0.00016204,             0.00016204
                     10,                0.77991,                 1.3168,                 1.0267,                 0.4488,                   0.06,                0.08689,                0.05791,                0.96965,                 2.9035,                 1.7236,             0.00015719,             0.00015719,             0.00015719
                     11,                0.74047,                 1.2156,                 1.0273,                0.40385,                0.07333,                0.08209,                0.05289,                 1.0595,                 2.9703,                  1.682,             0.00015234,             0.00015234,             0.00015234
                     12,                0.73004,                 1.1805,                0.99518,                0.27319,                0.05117,                0.07601,                0.05537,                0.84725,                  2.725,                 1.5947,             0.00014749,             0.00014749,             0.00014749
